location,date,total_cases,new_cases
Afghanistan,12/31/2019,,0
Afghanistan,1/1/2020,,0
Afghanistan,1/2/2020,,0
Afghanistan,1/3/2020,,0
Afghanistan,1/4/2020,,0
Afghanistan,1/5/2020,,0
Afghanistan,1/6/2020,,0
Afghanistan,1/7/2020,,0
Afghanistan,1/8/2020,,0
Afghanistan,1/9/2020,,0
Afghanistan,1/10/2020,,0
Afghanistan,1/11/2020,,0
Afghanistan,1/12/2020,,0
Afghanistan,1/13/2020,,0
Afghanistan,1/14/2020,,0
Afghanistan,1/15/2020,,0
Afghanistan,1/16/2020,,0
Afghanistan,1/17/2020,,0
Afghanistan,1/18/2020,,0
Afghanistan,1/19/2020,,0
Afghanistan,1/20/2020,,0
Afghanistan,1/21/2020,,0
Afghanistan,1/22/2020,,0
Afghanistan,1/23/2020,,0
Afghanistan,1/24/2020,,0
Afghanistan,1/25/2020,,0
Afghanistan,1/26/2020,,0
Afghanistan,1/27/2020,,0
Afghanistan,1/28/2020,,0
Afghanistan,1/29/2020,,0
Afghanistan,1/30/2020,,0
Afghanistan,1/31/2020,,0
Afghanistan,2/1/2020,,0
Afghanistan,2/2/2020,,0
Afghanistan,2/3/2020,,0
Afghanistan,2/4/2020,,0
Afghanistan,2/5/2020,,0
Afghanistan,2/6/2020,,0
Afghanistan,2/7/2020,,0
Afghanistan,2/8/2020,,0
Afghanistan,2/9/2020,,0
Afghanistan,2/10/2020,,0
Afghanistan,2/11/2020,,0
Afghanistan,2/12/2020,,0
Afghanistan,2/13/2020,,0
Afghanistan,2/14/2020,,0
Afghanistan,2/15/2020,,0
Afghanistan,2/16/2020,,0
Afghanistan,2/17/2020,,0
Afghanistan,2/18/2020,,0
Afghanistan,2/19/2020,,0
Afghanistan,2/20/2020,,0
Afghanistan,2/21/2020,,0
Afghanistan,2/22/2020,,0
Afghanistan,2/23/2020,,0
Afghanistan,2/24/2020,,0
Afghanistan,2/25/2020,1,1
Afghanistan,2/26/2020,1,0
Afghanistan,2/27/2020,1,0
Afghanistan,2/28/2020,1,0
Afghanistan,2/29/2020,1,0
Afghanistan,3/1/2020,1,0
Afghanistan,3/2/2020,1,0
Afghanistan,3/3/2020,,
Afghanistan,3/4/2020,,
Afghanistan,3/5/2020,,
Afghanistan,3/6/2020,,
Afghanistan,3/7/2020,,
Afghanistan,3/8/2020,4,3
Afghanistan,3/9/2020,,
Afghanistan,3/10/2020,,
Afghanistan,3/11/2020,7,3
Afghanistan,3/12/2020,,
Afghanistan,3/13/2020,,
Afghanistan,3/14/2020,,
Afghanistan,3/15/2020,10,3
Afghanistan,3/16/2020,16,6
Afghanistan,3/17/2020,21,5
Afghanistan,3/18/2020,22,1
Afghanistan,3/19/2020,22,0
Afghanistan,3/20/2020,22,0
Afghanistan,3/21/2020,24,2
Afghanistan,3/22/2020,24,0
Afghanistan,3/23/2020,34,10
Afghanistan,3/24/2020,40,6
Afghanistan,3/25/2020,42,2
Afghanistan,3/26/2020,75,33
Afghanistan,3/27/2020,75,0
Afghanistan,3/28/2020,91,16
Afghanistan,3/29/2020,106,15
Afghanistan,3/30/2020,114,8
Afghanistan,3/31/2020,141,27
Afghanistan,4/1/2020,166,25
Afghanistan,4/2/2020,192,26
Afghanistan,4/3/2020,235,43
Afghanistan,4/4/2020,235,0
Afghanistan,4/5/2020,270,35
Afghanistan,4/6/2020,299,29
Afghanistan,4/7/2020,337,38
Afghanistan,4/8/2020,367,30
Afghanistan,4/9/2020,423,56
Afghanistan,4/10/2020,484,61
Afghanistan,4/11/2020,521,37
Afghanistan,4/12/2020,555,34
Afghanistan,4/13/2020,607,52
Afghanistan,4/14/2020,665,58
Afghanistan,4/15/2020,714,49
Afghanistan,4/16/2020,784,70
Afghanistan,4/17/2020,794,10
Afghanistan,4/18/2020,845,51
Afghanistan,4/19/2020,908,63
Afghanistan,4/20/2020,996,88
Afghanistan,4/21/2020,1031,35
Afghanistan,4/22/2020,1092,61
Afghanistan,4/23/2020,1176,84
Afghanistan,4/24/2020,1281,105
Afghanistan,4/25/2020,1351,70
